X,Y,Z,Class
0.42,-0.93,-0.76,1
-0.9,-2.37,1.62,1
-0.52,-1.53,-1.88,1
1.12,0.65,0.28,1
2.04,1.91,1.19,1
-0.45,-1.23,0.63,1
-0.27,-0.29,-0.68,1
-0.61,-1.28,-0.68,1
-0.87,0.72,0.36,1
-0.3,0.15,-0.72,1
-0.76,-1.52,0.68,1
-0.29,1.35,0.81,1
-0.12,-1.01,-2.23,1
0.75,1.16,0.13,1
0.52,0.31,0.01,1
0.34,1.16,-0.36,1
0.17,-0.14,0.05,1
0.58,-0.3,-0.48,1
-0.08,-0.41,0.09,1
0.7,-0.26,-0.39,1
1.11,1.03,0.07,1
-0.65,0.27,-0.08,1
-0.66,-0.27,0.55,1
0.15,-0.79,1.59,1
0.16,0.5,1.34,1
-0.73,-0.52,0.17,1
0.41,1.33,0.6,1
-1.03,-0.94,0.15,1
0.47,-0.12,0.25,1
1.28,-1.35,-2.23,1
-1.33,-2.12,-2.87,1
0.94,0.69,0.59,1
0.28,-0.12,0.89,1
0.06,-1.06,-0.85,1
0.07,0.64,-0.93,1
1.37,-0.26,0.64,1
-0.78,-1.59,-0.35,1
0.47,1.15,-0.05,1
0.34,-0.06,0.03,1
0.94,0.71,-0.66,1
-0.07,-0.91,-0.46,1
-0.58,-0.39,0.44,1
-0.82,-0.75,0.31,1
-2.32,-1.49,-1.3,1
0.74,-1.18,0.09,1
-1.54,-0.93,-0.55,1
-0.18,-1.04,-1.71,1
0.95,1.6,0.25,1
0.9,1.05,0.7,1
0.05,1.33,-0.01,1
