X,Y,Z,Class
-3.12,-2.98,-2.38,3
-1.23,-0.98,-3.02,3
-3.1,-2.24,-2.8,3
-4.25,-4.14,-3.6,3
-3.34,-3.23,-2.36,3
-4.69,-4.33,-2.42,3
-3.02,-3.61,-3.09,3
-1.98,-2.63,-3.46,3
-4.45,-3.38,-2.69,3
-3.91,-2.88,-2.74,3
-3.58,-3.85,-3.01,3
-3.75,-3.76,-2.65,3
-3.45,-3.79,-2.1,3
-4.19,-3.2,-2.22,3
-3.42,-3.95,-2.87,3
-1.42,-2.1,-4.39,3
-2.65,-3.59,-2.71,3
-2.86,-1.65,-3.42,3
-4.5,-0.88,-1.29,3
-3.24,-4.58,-4.1,3
-3.41,-2.29,-3.8,3
-3.36,-2.71,-2.17,3
-3.07,-3.61,-3.37,3
-3.99,-4.14,-3.21,3
-2.53,-4.45,-3.7,3
-3.44,-3.97,-1.7,3
-3.85,-3.53,-3.76,3
-3.15,-2.66,-4.11,3
-2.38,-2.38,-3.99,3
-1.08,-3.26,-3.48,3
-2.21,-1.49,-3.46,3
-3.46,-3.33,-2.75,3
-4.45,-2.55,-3.59,3
-3.72,-1.88,-3.9,3
-1.87,-1.05,-5.07,3
-1.4,-3.41,-4.21,3
-2.01,-2.75,-2.2,3
-1.19,-3.75,-2.92,3
-2.42,-3.66,-3.9,3
-3.87,-3.11,-2.77,3
-3.21,-3.76,-2.16,3
-4.08,-3.07,-3.31,3
-3.78,-2.93,-4.2,3
-4.02,-3.67,-2.72,3
-1.59,-4.05,-4.9,3
-1.31,-1.62,-2.75,3
-4.21,-3.06,-2.91,3
-4.97,-3.05,-2.97,3
-2.75,-3.53,-4.4,3
-2.22,-1.55,-4.03,3
